Ticker,Date,Close
SPCE,7/6/2022,6.45
SPCE,7/7/2022,7.23
SPCE,7/8/2022,7.32
SPCE,7/11/2022,6.59
SPCE,7/12/2022,6.93
SPCE,7/13/2022,6.95
SPCE,7/14/2022,6.94
SPCE,7/15/2022,7.35
SPCE,7/18/2022,7.23
SPCE,7/19/2022,7.58
SPCE,7/20/2022,7.7
SPCE,7/21/2022,7.74
SPCE,7/22/2022,7.32
SPCE,7/25/2022,7.12
SPCE,7/26/2022,6.96
SPCE,7/27/2022,7.19
SPCE,7/28/2022,7.38
SPCE,7/29/2022,7.44
SPCE,8/1/2022,7.4
SPCE,8/2/2022,7.84
SPCE,8/3/2022,8.25
SPCE,8/4/2022,8.19
SPCE,8/5/2022,6.76
SPCE,8/8/2022,6.81
SPCE,8/9/2022,6.64
SPCE,8/10/2022,7.02
SPCE,8/11/2022,6.98
SPCE,8/12/2022,7.12
SPCE,8/15/2022,7.08
SPCE,8/16/2022,7.04
SPCE,8/17/2022,6.74
SPCE,8/18/2022,6.64
SPCE,8/19/2022,6.32
SPCE,8/22/2022,6.05
SPCE,8/23/2022,5.93
SPCE,8/24/2022,6.15
SPCE,8/25/2022,6.24
SPCE,8/26/2022,5.98
SPCE,8/29/2022,5.98
SPCE,8/30/2022,5.97
SPCE,8/31/2022,5.91
SPCE,9/1/2022,5.82
SPCE,9/2/2022,5.72
SPCE,9/6/2022,5.85
SPCE,9/7/2022,6.13
SPCE,9/8/2022,6.28
SPCE,9/9/2022,6
SPCE,9/12/2022,6.06
SPCE,9/13/2022,5.56
SPCE,9/14/2022,5.56
SPCE,9/15/2022,5.52
SPCE,9/16/2022,5.31
SPCE,9/19/2022,5.29
SPCE,9/20/2022,5.08
SPCE,9/21/2022,5.03
SPCE,9/22/2022,4.97
SPCE,9/23/2022,4.87
SPCE,9/26/2022,4.88
SPCE,9/27/2022,4.89
SPCE,9/28/2022,5.12
SPCE,9/29/2022,4.87
SPCE,9/30/2022,4.71
SPCE,10/3/2022,4.87
SPCE,10/4/2022,5.24
SPCE,10/5/2022,5.11
SPCE,10/6/2022,5.08
SPCE,10/7/2022,4.85
SPCE,10/10/2022,4.92
SPCE,10/11/2022,4.72
SPCE,10/12/2022,4.79
SPCE,10/13/2022,4.72
SPCE,10/14/2022,4.59
SPCE,10/17/2022,4.74
SPCE,10/18/2022,4.67
SPCE,10/19/2022,4.48
SPCE,10/20/2022,4.26
SPCE,10/21/2022,4.45
SPCE,10/24/2022,4.46
SPCE,10/25/2022,4.62
SPCE,10/26/2022,4.46
SPCE,10/27/2022,4.51
SPCE,10/28/2022,4.66
SPCE,10/31/2022,4.62
SPCE,11/1/2022,4.79
SPCE,11/2/2022,4.53
SPCE,11/3/2022,4.58
SPCE,11/4/2022,4.92
SPCE,11/7/2022,5.21
SPCE,11/8/2022,5
SPCE,11/9/2022,4.73
SPCE,11/10/2022,5.29
SPCE,11/11/2022,5.5
SPCE,11/14/2022,5.46
SPCE,11/15/2022,5.49
SPCE,11/16/2022,5.36
SPCE,11/17/2022,5.31
SPCE,11/18/2022,5.3
SPCE,11/21/2022,5.04
SPCE,11/22/2022,5.02
SPCE,11/23/2022,5.14
SPCE,11/25/2022,5.1
SPCE,11/28/2022,4.76
SPCE,11/29/2022,4.91
SPCE,11/30/2022,5.09
SPCE,12/1/2022,5.2
SPCE,12/2/2022,5.14
SPCE,12/5/2022,5.12
SPCE,12/6/2022,4.62
SPCE,12/7/2022,4.58
SPCE,12/8/2022,4.68
SPCE,12/9/2022,4.65
SPCE,12/12/2022,4.77
SPCE,12/13/2022,4.71
SPCE,12/14/2022,4.58
SPCE,12/15/2022,4.27
SPCE,12/16/2022,4.11
SPCE,12/19/2022,3.8
SPCE,12/20/2022,3.67
SPCE,12/21/2022,3.76
SPCE,12/22/2022,3.7
SPCE,12/23/2022,3.65
SPCE,12/27/2022,3.29
SPCE,12/28/2022,3.32
SPCE,12/29/2022,3.42
SPCE,12/30/2022,3.48
SPCE,1/3/2023,3.49
SPCE,1/4/2023,3.64
SPCE,1/5/2023,3.66
SPCE,1/6/2023,3.69
SPCE,1/9/2023,3.91
SPCE,1/10/2023,4.03
SPCE,1/11/2023,4.29
SPCE,1/12/2023,4.62
SPCE,1/13/2023,5.19
SPCE,1/17/2023,5.59
SPCE,1/18/2023,4.91
SPCE,1/19/2023,4.86
SPCE,1/20/2023,5.19
SPCE,1/23/2023,5.31
SPCE,1/24/2023,5.32
SPCE,1/25/2023,5.36
SPCE,1/26/2023,5.38
SPCE,1/27/2023,5.71
SPCE,1/30/2023,5.38
SPCE,1/31/2023,5.52
SPCE,2/1/2023,5.62
SPCE,2/2/2023,6.34
SPCE,2/3/2023,6.08
SPCE,2/6/2023,5.94
SPCE,2/7/2023,5.95
SPCE,2/8/2023,5.57
SPCE,2/9/2023,5.18
SPCE,2/10/2023,4.98
SPCE,2/13/2023,5.17
SPCE,2/14/2023,5.29
SPCE,2/15/2023,6.01
SPCE,2/16/2023,5.98
SPCE,2/17/2023,6.37
SPCE,2/21/2023,5.75
SPCE,2/22/2023,5.79
SPCE,2/23/2023,5.76
SPCE,2/24/2023,5.48
SPCE,2/27/2023,5.5
